,title,price,year,link,brand,type,age
91,60cm to 64cm softride classic qualifier 700,325,,https://cnj.craigslist.org/bik/d/new-brunswick-60cm-to-64cm-softride/7892685863.html,missing,missing,
92,62cm cannondale r900,275,,https://cnj.craigslist.org/bik/d/new-brunswick-62cm-cannondale-r900/7892685217.html,cannondale,missing,
93,64cm trek 2000 alpha sl,225,2000.0,https://cnj.craigslist.org/bik/d/new-brunswick-64cm-trek-2000-alpha-sl/7892684185.html,trek,missing,26.0
94,58cm garlatti parma patina,175,,https://cnj.craigslist.org/bik/d/new-brunswick-58cm-garlatti-parma-patina/7892683827.html,missing,missing,
95,60cm raleigh super course,225,,https://cnj.craigslist.org/bik/d/new-brunswick-60cm-raleigh-super-course/7892681356.html,raleigh,missing,
96,rare 60cm harry havnoonian racing group,425,,https://cnj.craigslist.org/bik/d/new-brunswick-rare-60cm-harry/7892680170.html,missing,missing,
97,60cm vitus 979,425,,https://cnj.craigslist.org/bik/d/new-brunswick-60cm-vitus-979/7885475016.html,missing,missing,
98,64cm 1985 mongoose mangusta all chrome,225,1985.0,https://cnj.craigslist.org/bik/d/new-brunswick-64cm-1985-mongoose/7885466918.html,missing,missing,41.0
99,62ccm (captain) - 56cm (stoker) santana tandem,225,,https://cnj.craigslist.org/bik/d/new-brunswick-62ccm-captain-56cm-stoker/7885461694.html,missing,missing,
100,60cm motobecane mirage sport,175,,https://cnj.craigslist.org/bik/d/new-brunswick-60cm-motobecane-mirage/7885460746.html,missing,missing,
101,60cm raleigh carlton frame new build,175,,https://cnj.craigslist.org/bik/d/new-brunswick-60cm-raleigh-carlton/7885459642.html,raleigh,missing,
102,64cm marinoni corsa,725,,https://cnj.craigslist.org/bik/d/new-brunswick-64cm-marinoni-corsa/7885453045.html,missing,missing,
103,miint 68cm panasonic sport 1000,225,,https://cnj.craigslist.org/bik/d/new-brunswick-miint-68cm-panasonic/7877431690.html,missing,missing,
104,20 inch girl bicycle,50,,https://cnj.craigslist.org/bik/d/edison-20-inch-girl-bicycle/7900741437.html,missing,missing,
105,16 inch huffy girls,30,,https://cnj.craigslist.org/bik/d/edison-16-inch-huffy-girls/7900741628.html,missing,missing,
106,16 inch girls and 18 inch boys huffys bicycles,60,,https://cnj.craigslist.org/bik/d/edison-16-inch-girls-and-18-inch-boys/7900741600.html,missing,missing,
107,26 inch pantera gt terra 21 speed,100,,https://cnj.craigslist.org/bik/d/edison-26-inch-pantera-gt-terra-21-speed/7900741519.html,gt,missing,
108,electric bike,145,,https://cnj.craigslist.org/bik/d/bound-brook-electric-bike/7911682514.html,missing,electric,
109,strider balance bike,60,,https://cnj.craigslist.org/bik/d/belle-mead-strider-balance-bike/7911653384.html,missing,missing,
110,union adult cruiser folding bike bicycle runs perfect,125,,https://cnj.craigslist.org/bik/d/plainfield-union-adult-cruiser-folding/7911644905.html,missing,cruiser,
111,trek 8.3ds dual sport,320,,https://cnj.craigslist.org/bik/d/trenton-trek-83ds-dual-sport/7878561697.html,trek,missing,
112,trek fuel ex8,475,,https://cnj.craigslist.org/bik/d/trenton-trek-fuel-ex8/7878561969.html,trek,missing,
113,cannondale synapse road bike – size 54 – pristine – full gear included,550,,https://cnj.craigslist.org/bik/d/millington-cannondale-synapse-road-bike/7911606716.html,cannondale,road,
114,schwinn crisscross bike,59,,https://cnj.craigslist.org/bik/d/trenton-schwinn-crisscross-bike/7901490390.html,schwinn,missing,
115,giant sedona 26'' bike,69,,https://cnj.craigslist.org/bik/d/trenton-giant-sedona-26-bike/7901489489.html,giant,missing,
